,Hotel,Ubicacion,Direccion,Estrellas,Longitud,Latitud
41,Hotel Fuente De Agua,"Cusco a 7527,31 km del centro","C/ Fray Domingo Cabrera, 5 - 084, Cusco 01, Cusco (Peru)",2,-71.8841,-13.54595
42,Posada Tierra Del Inka San Blas,"Cusco a 0,34 km del centro","Calle Carmen Alto 227, San Blas, Cusco Cusc 01, Cusco (Peru)",-1,-71.97558,-13.51421
43,Hotel Agustos,"Cusco a 1,68 km del centro","CALLE HIPOLITO UNANUE 155, , Cusco xxxx, Cusco (Peru)",3,-71.95812,-13.52621
44,Hotel Sonesta Posadas Del Inca Cusco,"Cusco a 0,08 km del centro","Portal Espinar 108, Cusco 084, Cusco (Peru)",3,-71.97941,-13.51783
45,Hotel Encantada Casa Boutique Spa,"Cusco a 0,48 km del centro","C/ Tandapata, 354, Cusco CUSC 01, Cusco (Peru)",3,-71.97627,-13.51257
46,Hotel Tambo Del Arriero,"Cusco a 0,32 km del centro","Calle Nueva Alta 484, Cusco , Cusco (Peru)",3,-71.984,-13.51733
47,Hostal Qorichaska,"Cusco a 0,28 km del centro","Calle Nueva Alta 458, Cusco 111, Cusco (Peru)",-1,-71.98373,-13.51716
48,Hostal Apu Huascaran,"Cusco a 0,31 km del centro","C/ Carmen Bajo #257, Cusco 0000, Cusco (Peru)",-1,-71.97462,-13.51517
49,Hotel Monarca,"Cusco a 0,39 km del centro","Calle Pumapaccha 290, Cusco Cusc 01, Cusco (Peru)",3,-71.97267,-13.51608
50,Hostal Pumamarca Guest House,"Cusco a 0,38 km del centro","Calle Qollacalle 322, Cusco Cusc 01, Cusco (Peru)",-1,-71.97287,-13.51726
51,Hotel Los Portales Cusco,"Cusco a 0,69 km del centro","Av. El Sol 602 Cusco, Cusco 84, Cusco (Peru)",3,-71.97563,-13.5216
52,Hotel Samay,"Cusco a 1,16 km del centro","Av. San Martín 206, Cusco 084, Cusco (Peru)",3,-71.97008,-13.52925
53,Hostal Inti Wasi,"Cusco a 0,09 km del centro","Calle del Medio 134, Cusco , Cusco (Peru)",-1,-71.97945,-13.51704
54,Hostal Cusi Wasi,"Cusco a 0,42 km del centro","Avenida Arcopata 466A, Cusco 08002, Cusco (Peru)",-1,-71.98566,-13.5163
55,Hostal El Virrey Boutique,"Cusco a 0,06 km del centro","Portal Comercio 165, Plaza de Armas, Cusco 084, Cusco (Peru)",-1,-71.97896,-13.51716
56,Hotel Jw Marriott El Convento Cusco,"Cusco a 0,18 km del centro","Calle Ruinas 432, Cusco 0000, Cusco (Peru)",5,-71.97591,-13.51665
57,Hotel Colquewasi,"Cusco a 0,59 km del centro","Calle Queshua 210, int. B5, Cusco CU 01, Cusco (Peru)",-1,-71.98609,-13.52059
58,Bed & Breakfast Mallmanya Inn,"Cusco a 1,05 km del centro","Av. Ejército 1630, Cusco 084, Cusco (Peru)",-1,-71.97813,-13.52456
59,Andean Dreams Hotel,"Cusco a 0,31 km del centro","Calle Choquechaca 261, Cusco Cusc86, Cusco (Peru)",2,-71.97666,-13.51422
60,Tierra Del Sol Hotel,"Cusco a 0,8 km del centro","Calle Centenario 689, Cusco 080, Cusco (Peru)",3,-71.97621,-13.52381
61,Hostal Pirwa Posada Del Corregidor,"Cusco a 0,06 km del centro","Portal de Panes 151, Plaza de Armas, Cusco Cusc 01, Cusco (Peru)",-1,-71.97932,-13.51625
62,Hotel Buena Vista Cusco,"Cusco a 0,36 km del centro","Calle Pumacurco 490, Cusco CUSC 01, Cusco (Peru)",2,-71.97805,-13.51341
63,Hotel Casa Andina Standard Cusco Plaza,"Cusco a 0,1 km del centro","Portal Espinar 142, Cusco, Cusco Cusco, Cusco (Peru)",3,-71.97955,-13.51763
